Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009225,2018,04,30,12.2
IDCJAC0016,009225,2018,05,01,14.5
IDCJAC0016,009225,2018,05,02,11.4
IDCJAC0016,009225,2018,05,03,13.2
IDCJAC0016,009225,2018,05,04,13.7
IDCJAC0016,009225,2018,05,05,14.6
IDCJAC0016,009225,2018,05,06,7.3
IDCJAC0016,009225,2018,05,07,13.7
IDCJAC0016,009225,2018,05,08,14.3
IDCJAC0016,009225,2018,05,09,14.0
IDCJAC0016,009225,2018,05,10,12.1
IDCJAC0016,009225,2018,05,11,14.0
IDCJAC0016,009225,2018,05,12,13.5
IDCJAC0016,009225,2018,05,13,12.6
IDCJAC0016,009225,2018,05,14,13.5
IDCJAC0016,009225,2018,05,15,13.6
IDCJAC0016,009225,2018,05,16,13.3
IDCJAC0016,009225,2018,05,17,13.4
IDCJAC0016,009225,2018,05,18,13.3
IDCJAC0016,009225,2018,05,19,13.2
IDCJAC0016,009225,2018,05,20,13.1
IDCJAC0016,009225,2018,05,21,13.1
IDCJAC0016,009225,2018,05,22,13.0
IDCJAC0016,009225,2018,05,23,12.9
IDCJAC0016,009225,2018,05,24,9.0
IDCJAC0016,009225,2018,05,25,10.4
IDCJAC0016,009225,2018,05,26,5.7
IDCJAC0016,009225,2018,05,27,9.5
IDCJAC0016,009225,2018,05,28,6.5
IDCJAC0016,009225,2018,05,29,11.3
IDCJAC0016,009225,2018,05,30,12.2
IDCJAC0016,009225,2018,05,31,4.6
IDCJAC0016,009225,2018,06,01,12.2
IDCJAC0016,009225,2018,06,02,12.3
IDCJAC0016,009225,2018,06,03,12.1
IDCJAC0016,009225,2018,06,04,4.9
IDCJAC0016,009225,2018,06,05,4.1
IDCJAC0016,009225,2018,06,06,9.1
IDCJAC0016,009225,2018,06,07,6.0
IDCJAC0016,009225,2018,06,08,9.8
IDCJAC0016,009225,2018,06,09,10.9
IDCJAC0016,009225,2018,06,10,8.0
IDCJAC0016,009225,2018,06,11,6.8
IDCJAC0016,009225,2018,06,12,7.9
IDCJAC0016,009225,2018,06,13,8.8
IDCJAC0016,009225,2018,06,14,11.9
IDCJAC0016,009225,2018,06,15,11.9
IDCJAC0016,009225,2018,06,16,11.9
IDCJAC0016,009225,2018,06,17,11.9
IDCJAC0016,009225,2018,06,18,9.6
IDCJAC0016,009225,2018,06,19,9.4
IDCJAC0016,009225,2018,06,20,8.3
IDCJAC0016,009225,2018,06,21,10.0
IDCJAC0016,009225,2018,06,22,9.7
IDCJAC0016,009225,2018,06,23,11.7
IDCJAC0016,009225,2018,06,24,11.4
IDCJAC0016,009225,2018,06,25,11.6
IDCJAC0016,009225,2018,06,26,9.2
IDCJAC0016,009225,2018,06,27,5.8
IDCJAC0016,009225,2018,06,28,10.9
IDCJAC0016,009225,2018,06,29,11.8
IDCJAC0016,009225,2018,06,30,11.0
IDCJAC0016,009225,2018,07,01,9.6
IDCJAC0016,009225,2018,07,02,2.9
IDCJAC0016,009225,2018,07,03,10.3
IDCJAC0016,009225,2018,07,04,8.9
IDCJAC0016,009225,2018,07,05,9.5
IDCJAC0016,009225,2018,07,06,11.8
IDCJAC0016,009225,2018,07,07,8.9
IDCJAC0016,009225,2018,07,08,12.3
IDCJAC0016,009225,2018,07,09,12.4
IDCJAC0016,009225,2018,07,10,12.4
IDCJAC0016,009225,2018,07,11,12.5
IDCJAC0016,009225,2018,07,12,10.9
IDCJAC0016,009225,2018,07,13,11.5
IDCJAC0016,009225,2018,07,14,7.9
IDCJAC0016,009225,2018,07,15,8.1
IDCJAC0016,009225,2018,07,16,9.2
IDCJAC0016,009225,2018,07,17,10.8
IDCJAC0016,009225,2018,07,18,10.6
IDCJAC0016,009225,2018,07,19,11.9
IDCJAC0016,009225,2018,07,20,11.9
IDCJAC0016,009225,2018,07,21,7.5
IDCJAC0016,009225,2018,07,22,10.3
IDCJAC0016,009225,2018,07,23,10.0
IDCJAC0016,009225,2018,07,24,11.1
IDCJAC0016,009225,2018,07,25,9.4
IDCJAC0016,009225,2018,07,26,12.2
IDCJAC0016,009225,2018,07,27,9.1
IDCJAC0016,009225,2018,07,28,10.8
IDCJAC0016,009225,2018,07,29,11.8
IDCJAC0016,009225,2018,07,30,11.9
IDCJAC0016,009225,2018,07,31,13.7
IDCJAC0016,009225,2018,08,01,6.7
IDCJAC0016,009225,2018,08,02,9.2
IDCJAC0016,009225,2018,08,03,9.8
IDCJAC0016,009225,2018,08,04,11.4
IDCJAC0016,009225,2018,08,05,12.2
IDCJAC0016,009225,2018,08,06,8.5
IDCJAC0016,009225,2018,08,07,11.9
IDCJAC0016,009225,2018,08,08,9.4
IDCJAC0016,009225,2018,08,09,12.4
IDCJAC0016,009225,2018,08,10,14.7
IDCJAC0016,009225,2018,08,11,15.4
IDCJAC0016,009225,2018,08,12,15.6
IDCJAC0016,009225,2018,08,13,15.6
IDCJAC0016,009225,2018,08,14,13.2
IDCJAC0016,009225,2018,08,15,14.2
IDCJAC0016,009225,2018,08,16,13.3
IDCJAC0016,009225,2018,08,17,14.3
IDCJAC0016,009225,2018,08,18,16.4
