Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2018,04,09,25.2,1,N
IDCJAC0010,009225,2018,04,10,21.9,1,N
IDCJAC0010,009225,2018,04,11,23.3,1,N
IDCJAC0010,009225,2018,04,12,22.1,1,N
IDCJAC0010,009225,2018,04,13,22.5,1,N
IDCJAC0010,009225,2018,04,14,22.7,1,N
IDCJAC0010,009225,2018,04,15,27.7,1,N
IDCJAC0010,009225,2018,04,16,33.1,1,N
IDCJAC0010,009225,2018,04,17,24.4,1,N
IDCJAC0010,009225,2018,04,18,22.7,1,N
IDCJAC0010,009225,2018,04,19,21.3,1,N
IDCJAC0010,009225,2018,04,20,23.2,1,N
IDCJAC0010,009225,2018,04,21,28.0,1,N
IDCJAC0010,009225,2018,04,22,23.3,1,N
IDCJAC0010,009225,2018,04,23,22.7,1,N
IDCJAC0010,009225,2018,04,24,23.1,1,N
IDCJAC0010,009225,2018,04,25,24.7,1,N
IDCJAC0010,009225,2018,04,26,26.0,1,N
IDCJAC0010,009225,2018,04,27,26.3,1,N
IDCJAC0010,009225,2018,04,28,28.9,1,N
IDCJAC0010,009225,2018,04,29,31.0,1,N
IDCJAC0010,009225,2018,04,30,29.7,1,N
IDCJAC0010,009225,2018,05,01,21.1,1,Y
IDCJAC0010,009225,2018,05,02,19.2,1,Y
IDCJAC0010,009225,2018,05,03,20.9,1,Y
IDCJAC0010,009225,2018,05,04,22.1,1,Y
IDCJAC0010,009225,2018,05,05,28.8,1,Y
IDCJAC0010,009225,2018,05,06,21.7,1,Y
IDCJAC0010,009225,2018,05,07,21.5,1,Y
IDCJAC0010,009225,2018,05,08,22.5,1,Y
IDCJAC0010,009225,2018,05,09,24.6,1,Y
IDCJAC0010,009225,2018,05,10,24.4,1,Y
IDCJAC0010,009225,2018,05,11,28.9,1,Y
IDCJAC0010,009225,2018,05,12,32.7,1,Y
IDCJAC0010,009225,2018,05,13,25.3,1,Y
IDCJAC0010,009225,2018,05,14,26.1,1,Y
IDCJAC0010,009225,2018,05,15,27.0,1,Y
IDCJAC0010,009225,2018,05,16,26.3,1,Y
IDCJAC0010,009225,2018,05,17,24.9,1,Y
IDCJAC0010,009225,2018,05,18,24.3,1,Y
IDCJAC0010,009225,2018,05,19,24.3,1,Y
IDCJAC0010,009225,2018,05,20,24.6,1,Y
IDCJAC0010,009225,2018,05,21,25.4,1,Y
IDCJAC0010,009225,2018,05,22,28.1,1,Y
IDCJAC0010,009225,2018,05,23,28.6,1,Y
IDCJAC0010,009225,2018,05,24,27.4,1,Y
IDCJAC0010,009225,2018,05,25,18.8,1,Y
IDCJAC0010,009225,2018,05,26,19.3,1,Y
IDCJAC0010,009225,2018,05,27,21.3,1,Y
IDCJAC0010,009225,2018,05,28,17.2,1,Y
IDCJAC0010,009225,2018,05,29,21.2,1,Y
IDCJAC0010,009225,2018,05,30,22.3,1,Y
IDCJAC0010,009225,2018,05,31,19.1,1,Y
IDCJAC0010,009225,2018,06,01,18.5,1,Y
IDCJAC0010,009225,2018,06,02,19.6,1,Y
IDCJAC0010,009225,2018,06,03,22.6,1,Y
IDCJAC0010,009225,2018,06,04,20.2,1,Y
IDCJAC0010,009225,2018,06,05,18.1,1,Y
IDCJAC0010,009225,2018,06,06,16.8,1,Y
IDCJAC0010,009225,2018,06,07,14.1,1,Y
IDCJAC0010,009225,2018,06,08,17.8,1,Y
IDCJAC0010,009225,2018,06,09,20.7,1,Y
IDCJAC0010,009225,2018,06,10,19.8,1,Y
IDCJAC0010,009225,2018,06,11,16.7,1,Y
IDCJAC0010,009225,2018,06,12,19.7,1,Y
IDCJAC0010,009225,2018,06,13,17.7,1,Y
IDCJAC0010,009225,2018,06,14,20.3,1,Y
IDCJAC0010,009225,2018,06,15,21.2,1,Y
IDCJAC0010,009225,2018,06,16,21.5,1,Y
IDCJAC0010,009225,2018,06,17,24.1,1,Y
IDCJAC0010,009225,2018,06,18,17.4,1,Y
IDCJAC0010,009225,2018,06,19,19.2,1,Y
IDCJAC0010,009225,2018,06,20,19.5,1,Y
IDCJAC0010,009225,2018,06,21,20.1,1,Y
IDCJAC0010,009225,2018,06,22,19.7,1,Y
IDCJAC0010,009225,2018,06,23,21.9,1,Y
IDCJAC0010,009225,2018,06,24,21.5,1,Y
IDCJAC0010,009225,2018,06,25,19.9,1,Y
